Episode,Reward
1,-7.006847252943867
2,-1.2138451669460657
3,-2.330863488090126
4,1.255830823501067
5,-2.4596409896793334
6,-6.345886104732683
7,-1.0872147152984257
8,-7.505301200130227
9,-9.061697879745761
10,1.3961106843564581
11,-4.9938758259721245
12,-3.2455254656325723
13,-4.89598796100069
14,-4.5446469362496185
15,-3.3199172720860153
16,2.7789121336641074
17,10.660057962282984
18,-11.0238265076801
19,-13.814822834804307
20,-0.36309998153272105
21,-1.50686666852943
22,-9.100296952948458
23,0.7174365108952472
24,-5.3175999747391245
25,-5.605502211991723
26,12.334907270635387
27,-9.947386930568427
28,-6.083350279125929
29,4.049659395515991
30,2.2730743477342417
31,-6.510652556263622
32,-1.5125913731435838
33,-0.9557800543684863
34,-2.5786642671756628
35,-2.402776686784038
36,-2.182374227688416
37,5.37637287248674
38,-5.2253504561720385
39,-2.4742831527578337
40,18.76502235135268
41,-6.69730482606818
42,-0.6315564359680281
43,0.2822961421884035
44,3.117031021844712
45,-9.73282744770404
46,-4.504716573625524
47,-6.653278277409952
48,20.94179313752291
49,2.018109112541374
50,0.2999747266539061
51,-3.242736893302741
52,-7.026177047529732
53,8.200654186966478
54,1.108135398918062
55,0.4085176104459354
56,-1.1682819905359287
57,-8.432630094789829
58,3.5163572702980694
59,7.729296028204594
60,0.7497003338874146
61,-0.7464774791436974
62,21.579432738737545
63,0.32581474409787314
64,-0.7348873541576812
65,15.255831975372896
66,7.058114855628213
67,6.653522080515999
68,-1.432320424622655
69,7.917699301614409
70,-3.869232742655618
71,167.0117085205509
72,-16.307637107735548
73,13.81176901139229
74,-5.259059070465572
75,-13.9245689709508
76,-6.709498810625073
77,13.595047958702434
78,-27.832387188110886
79,12.317055088932117
80,-4.600022944739798
81,-58.65500949389807
82,37.5105887836526
83,-26.600419968154654
84,-49.84740442917379
85,13.114361076684236
86,16.32065125310033
87,22.13669603505598
88,306.3037410700901
89,39.21452307833344
90,10.647856677977888
91,348.6941098294653
92,68.12976667172536
93,118.01172679578684
94,-13.450690925749996
95,35.4536058882112
96,27.885652768488914
97,114.92573965900904
98,222.29971346559256
99,147.3502075932589
100,409.8032913817382
101,24.239666409157575
102,2.642195045218611
103,48.55733634507533
104,268.72692627805185
105,205.15903020183805
106,110.82517594057084
107,16.130730570616052
108,314.60856844134344
109,620.9136282916515
110,290.9293763960108
111,122.61566345003823
112,41.45703451303829
113,310.11026360676146
114,30.329763120572668
115,48.34174920232562
116,361.01999630053126
117,276.78394377837026
